Tip Matrice,Nr threads,Timp executie
,4,0
,4,0
,4,2.33932
,4,2.3612
,2,47.60887
,4,57.51214
,8,67.58513
,16,58.57456
,2,942.12793
,4,534.94144
,8,388.52325
,16,412.20597
